Participant,Item,SentType,Rating,TrialOrder
2,20,need,2,25
2,16,need,2,43
2,4,need,3,51
2,12,need,2,56
2,24,need,1,67
2,28,need,1,93
2,46,negative-concord,6,9
2,42,negative-concord,6,10
2,48,negative-concord,7,47
2,47,negative-concord,7,55
2,43,negative-concord,7,71
2,45,negative-concord,7,91
2,44,negative-concord,7,92
2,41,negative-concord,7,95
2,87,non-factive-believe,7,14
2,84,non-factive-believe,7,15
2,81,non-factive-believe,7,26
2,82,non-factive-believe,7,34
2,85,non-factive-believe,7,42
2,86,non-factive-believe,7,44
2,83,non-factive-believe,6,64
2,88,non-factive-believe,7,98
2,94,raising-seem,7,17
2,89,raising-seem,6,20
2,90,raising-seem,3,32
2,93,raising-seem,7,48
2,91,raising-seem,7,49
2,96,raising-seem,7,54
2,95,raising-seem,7,57
2,92,raising-seem,7,79
2,50,singular-dont,5,7
2,55,singular-dont,7,38
2,49,singular-dont,7,53
2,56,singular-dont,6,58
2,53,singular-dont,5,61
2,54,singular-dont,6,63
2,51,singular-dont,7,82
2,52,singular-dont,6,96
2,9,need,1,8
2,1,need,2,30
2,17,need,1,33
2,5,need,1,60
2,13,need,2,74
2,29,need,7,83
2,25,need,2,85
2,21,need,3,100
2,2,want,2,18
2,6,want,1,22
2,22,want,2,37
2,26,want,2,41
2,14,want,1,46
2,30,want,2,65
2,10,want,1,70
2,18,want,2,87
3,57,2-word-order-errors,1,5
3,58,2-word-order-errors,2,11
3,63,2-word-order-errors,1,16
3,61,2-word-order-errors,1,19
3,64,2-word-order-errors,1,21
3,60,2-word-order-errors,1,26
3,59,2-word-order-errors,2,39
3,62,2-word-order-errors,1,70
3,40,be-drop,2,24
3,34,be-drop,2,34
3,38,be-drop,4,44
3,35,be-drop,3,54
3,33,be-drop,4,59
3,37,be-drop,2,65
3,39,be-drop,2,86
3,36,be-drop,3,98
3,71,causative,6,9
3,72,causative,7,30
3,68,causative,7,49
3,70,causative,7,53
3,67,causative,7,62
3,69,causative,7,66
3,66,causative,7,77
3,65,causative,7,94
3,75,factive-say,7,13
3,78,factive-say,7,28
3,77,factive-say,7,38
3,76,factive-say,7,63
3,79,factive-say,7,67
3,80,factive-say,7,73
3,74,factive-say,7,91
3,73,factive-say,7,92
3,23,like,1,20
3,3,like,1,25
3,19,like,5,33
3,11,like,1,37
3,15,like,2,45
3,27,like,2,81
3,7,like,1,84
3,31,like,1,100
3,32,need,2,29
3,28,need,2,31
3,12,need,2,47
3,24,need,3,71
3,16,need,2,74
3,4,need,2,87
3,8,need,1,93
3,20,need,2,97
3,48,negative-concord,4,8
3,47,negative-concord,5,14
3,42,negative-concord,5,32
3,41,negative-concord,5,36
3,45,negative-concord,5,58
3,44,negative-concord,5,69
3,46,negative-concord,5,76
3,43,negative-concord,5,85
3,84,non-factive-believe,6,7
3,81,non-factive-believe,6,46
3,88,non-factive-believe,7,48
3,87,non-factive-believe,7,56
3,83,non-factive-believe,7,79
3,82,non-factive-believe,7,88
3,86,non-factive-believe,7,89
3,85,non-factive-believe,7,99
3,94,raising-seem,7,35
3,89,raising-seem,7,43
3,96,raising-seem,6,72
3,95,raising-seem,7,80
3,90,raising-seem,7,82
3,93,raising-seem,7,83
3,92,raising-seem,7,95
3,91,raising-seem,7,96
3,53,singular-dont,2,17
3,51,singular-dont,6,22
3,55,singular-dont,5,23
3,50,singular-dont,5,40
3,49,singular-dont,5,41
3,54,singular-dont,5,51
3,56,singular-dont,5,61
3,52,singular-dont,5,75
3,1,need,2,6
3,29,need,3,10
3,17,need,1,42
3,13,need,2,50
3,21,need,3,52
3,9,need,1,64
3,5,need,3,68
3,25,need,2,78
3,22,want,2,12
3,10,want,2,15
3,18,want,2,18
3,30,want,3,27
3,6,want,2,55
3,2,want,3,57
3,14,want,2,60
3,26,want,2,90
4,63,2-word-order-errors,1,5
4,62,2-word-order-errors,1,8
4,59,2-word-order-errors,1,19
4,61,2-word-order-errors,2,31
4,57,2-word-order-errors,1,50
4,60,2-word-order-errors,2,53
4,64,2-word-order-errors,2,56
4,58,2-word-order-errors,4,68
4,40,be-drop,3,13
4,37,be-drop,7,30
4,33,be-drop,3,40
4,34,be-drop,3,52
4,36,be-drop,4,67
4,35,be-drop,4,88
4,38,be-drop,5,93
4,39,be-drop,4,98
4,65,causative,6,62
4,70,causative,5,63
4,71,causative,6,65
4,66,causative,7,72
4,72,causative,7,77
4,67,causative,6,80
4,68,causative,7,95
4,69,causative,7,96
4,79,factive-say,7,6
4,76,factive-say,7,12
4,74,factive-say,7,15
4,77,factive-say,7,21
4,78,factive-say,6,34
4,75,factive-say,7,49
4,80,factive-say,7,71
4,73,factive-say,7,82
4,3,like,3,14
4,19,like,3,27
4,31,like,3,45
4,11,like,3,51
4,7,like,3,57
4,15,like,3,59
4,23,like,4,66
4,27,like,4,91
4,16,need,3,9
4,28,need,2,16
4,8,need,3,18
4,12,need,2,29
4,20,need,3,32
4,24,need,4,61
4,32,need,4,78
4,4,need,4,100
4,42,negative-concord,4,10
4,44,negative-concord,5,25
4,46,negative-concord,4,33
4,45,negative-concord,4,37
4,43,negative-concord,5,38
4,41,negative-concord,4,44
4,48,negative-concord,5,84
4,47,negative-concord,4,90
4,85,non-factive-believe,7,7
4,81,non-factive-believe,7,17
4,83,non-factive-believe,7,26
4,84,non-factive-believe,7,35
4,88,non-factive-believe,7,46
4,82,non-factive-believe,7,70
4,86,non-factive-believe,7,74
4,87,non-factive-believe,7,85
4,95,raising-seem,7,23
4,90,raising-seem,7,28
4,94,raising-seem,7,42
4,92,raising-seem,7,73
4,96,raising-seem,7,79
4,93,raising-seem,7,81
4,89,raising-seem,7,89
4,91,raising-seem,7,99
4,56,singular-dont,3,47
4,50,singular-dont,4,55
4,54,singular-dont,3,58
4,52,singular-dont,4,60
4,53,singular-dont,5,64
4,55,singular-dont,5,76
4,51,singular-dont,5,87
4,49,singular-dont,5,92
4,9,need,3,22
4,21,need,3,24
4,25,need,3,36
4,5,need,2,39
4,13,need,4,41
4,29,need,3,48
4,17,need,2,69
4,1,need,4,83
4,30,want,3,11
4,22,want,3,20
4,10,want,4,43
4,18,want,3,54
4,26,want,3,75
4,14,want,4,86
4,6,want,4,94
4,2,want,4,97
5,59,2-word-order-errors,1,6
5,62,2-word-order-errors,1,13
5,57,2-word-order-errors,1,28
5,61,2-word-order-errors,3,49
5,60,2-word-order-errors,1,69
5,63,2-word-order-errors,1,83
5,58,2-word-order-errors,7,96
5,64,2-word-order-errors,1,99
5,34,be-drop,1,16
5,36,be-drop,1,24
5,39,be-drop,1,27
5,35,be-drop,1,50
5,37,be-drop,1,54
5,38,be-drop,7,67
5,40,be-drop,1,73
5,33,be-drop,1,91
5,69,causative,7,19
5,70,causative,7,45
5,65,causative,7,47
5,71,causative,7,58
5,67,causative,7,64
5,66,causative,7,79
5,68,causative,7,86
5,72,causative,7,89
5,76,factive-say,7,10
5,75,factive-say,7,12
5,73,factive-say,7,23
5,79,factive-say,7,33
5,74,factive-say,7,39
5,78,factive-say,7,76
5,80,factive-say,7,80
5,77,factive-say,7,88
5,3,like,1,26
5,11,like,1,34
5,27,like,1,51
5,19,like,1,53
5,7,like,1,55
5,31,like,1,65
5,23,like,1,87
5,15,like,1,97
5,20,need,2,9
5,24,need,2,15
5,12,need,1,18
5,28,need,2,20
5,16,need,1,40
5,32,need,1,68
5,8,need,1,81
5,4,need,1,100
5,47,negative-concord,6,21
5,46,negative-concord,6,32
5,48,negative-concord,6,38
5,44,negative-concord,6,44
5,43,negative-concord,6,52
5,45,negative-concord,6,56
5,42,negative-concord,6,66
5,41,negative-concord,6,77
5,84,non-factive-believe,7,5
5,87,non-factive-believe,7,8
5,86,non-factive-believe,7,30
5,82,non-factive-believe,7,41
5,81,non-factive-believe,7,42
5,85,non-factive-believe,7,62
5,88,non-factive-believe,7,75
5,83,non-factive-believe,7,94
5,95,raising-seem,7,17
5,90,raising-seem,7,25
5,92,raising-seem,7,35
5,96,raising-seem,7,36
5,89,raising-seem,7,57
5,91,raising-seem,7,61
5,94,raising-seem,7,70
5,93,raising-seem,7,72
5,56,singular-dont,6,14
5,53,singular-dont,6,60
5,51,singular-dont,6,82
5,52,singular-dont,6,84
5,49,singular-dont,6,85
5,50,singular-dont,7,90
5,55,singular-dont,7,93
5,54,singular-dont,7,98
5,25,need,2,22
5,17,need,2,29
5,21,need,1,31
5,9,need,2,46
5,13,need,1,63
5,29,need,1,71
5,5,need,1,78
5,1,need,1,95
5,14,want,2,7
5,6,want,3,11
5,10,want,4,37
5,26,want,2,43
5,30,want,2,48
5,2,want,1,59
5,22,want,1,74
5,18,want,1,92
6,60,2-word-order-errors,2,13
6,63,2-word-order-errors,2,20
6,61,2-word-order-errors,2,34
6,62,2-word-order-errors,3,49
6,59,2-word-order-errors,7,77
6,64,2-word-order-errors,3,93
6,58,2-word-order-errors,5,96
6,57,2-word-order-errors,5,98
6,34,be-drop,2,12
6,40,be-drop,2,18
6,37,be-drop,4,53
6,33,be-drop,3,64
6,36,be-drop,4,69
6,38,be-drop,6,74
6,39,be-drop,5,81
6,35,be-drop,4,99
6,70,causative,5,9
6,65,causative,3,32
6,67,causative,6,43
6,68,causative,7,45
6,66,causative,7,68
6,71,causative,3,72
6,69,causative,5,84
6,72,causative,7,88
6,79,factive-say,3,16
6,74,factive-say,4,26
6,77,factive-say,5,33
6,73,factive-say,5,39
6,78,factive-say,3,60
6,76,factive-say,6,66
6,75,factive-say,7,76
6,80,factive-say,3,94
6,23,like,4,28
6,7,like,3,37
6,19,like,3,46
6,11,like,3,73
6,27,like,5,80
6,3,like,4,82
6,31,like,3,87
6,15,like,5,100
6,28,need,7,6
6,8,need,3,8
6,12,need,3,25
6,16,need,5,31
6,32,need,3,48
6,4,need,2,59
6,20,need,3,65
6,24,need,4,92
6,47,negative-concord,5,7
6,41,negative-concord,3,24
6,42,negative-concord,4,27
6,46,negative-concord,6,36
6,43,negative-concord,3,55
6,44,negative-concord,2,56
6,45,negative-concord,2,57
6,48,negative-concord,3,62
6,83,non-factive-believe,6,23
6,85,non-factive-believe,5,29
6,84,non-factive-believe,6,44
6,87,non-factive-believe,7,63
6,88,non-factive-believe,6,83
6,81,non-factive-believe,4,86
6,86,non-factive-believe,6,89
6,82,non-factive-believe,6,95
6,93,raising-seem,7,5
6,94,raising-seem,5,22
6,92,raising-seem,3,30
6,91,raising-seem,6,54
6,89,raising-seem,3,71
6,90,raising-seem,5,79
6,95,raising-seem,6,90
6,96,raising-seem,6,91
6,51,singular-dont,3,10
6,56,singular-dont,5,15
6,55,singular-dont,2,21
6,49,singular-dont,3,38
6,54,singular-dont,4,41
6,50,singular-dont,3,47
6,53,singular-dont,4,51
6,52,singular-dont,2,58
6,13,need,2,11
6,9,need,5,40
6,21,need,4,67
6,25,need,3,70
6,1,need,3,75
6,29,need,4,78
6,5,need,3,85
6,17,need,4,97
6,18,want,4,14
6,2,want,3,17
6,30,want,2,19
6,14,want,2,35
6,26,want,3,42
6,10,want,3,50
6,6,want,5,52
6,22,want,2,61
7,57,2-word-order-errors,2,12
7,63,2-word-order-errors,1,39
7,64,2-word-order-errors,1,59
7,60,2-word-order-errors,1,62
7,61,2-word-order-errors,1,65
7,62,2-word-order-errors,1,74
7,59,2-word-order-errors,2,84
7,58,2-word-order-errors,3,91
7,33,be-drop,4,14
7,39,be-drop,3,20
7,37,be-drop,3,23
7,35,be-drop,3,29
7,36,be-drop,2,41
7,40,be-drop,2,88
7,34,be-drop,2,92
7,38,be-drop,2,94
7,72,causative,6,31
7,66,causative,6,35
7,65,causative,6,47
7,69,causative,7,52
7,67,causative,7,76
7,70,causative,6,77
7,68,causative,6,82
7,71,causative,6,98
7,75,factive-say,5,5
7,74,factive-say,6,15
7,80,factive-say,6,21
7,73,factive-say,6,36
7,78,factive-say,6,55
7,79,factive-say,7,68
7,76,factive-say,6,81
7,77,factive-say,5,89
7,19,like,4,26
7,23,like,3,30
7,3,like,3,38
7,11,like,3,44
7,27,like,2,46
7,7,like,2,56
7,15,like,2,97
7,31,like,2,100
7,20,need,3,34
7,4,need,2,40
7,28,need,2,61
7,12,need,2,66
7,16,need,2,70
7,24,need,2,78
7,8,need,2,87
7,32,need,2,90
7,46,negative-concord,5,8
7,42,negative-concord,5,9
7,44,negative-concord,7,32
7,41,negative-concord,6,49
7,48,negative-concord,5,67
7,43,negative-concord,6,79
7,45,negative-concord,6,96
7,47,negative-concord,6,99
7,81,non-factive-believe,7,19
7,85,non-factive-believe,6,25
7,87,non-factive-believe,7,33
7,88,non-factive-believe,6,37
7,86,non-factive-believe,6,57
7,83,non-factive-believe,7,69
7,84,non-factive-believe,6,71
7,82,non-factive-believe,6,86
7,89,raising-seem,5,6
7,95,raising-seem,5,11
7,91,raising-seem,6,16
7,93,raising-seem,6,27
7,90,raising-seem,6,45
7,94,raising-seem,6,50
7,92,raising-seem,6,63
7,96,raising-seem,6,80
7,53,singular-dont,5,17
7,51,singular-dont,6,28
7,49,singular-dont,5,42
7,52,singular-dont,6,43
7,55,singular-dont,6,53
7,50,singular-dont,6,60
7,54,singular-dont,6,73
7,56,singular-dont,5,95
7,29,need,3,10
7,1,need,3,18
7,5,need,2,51
7,17,need,2,54
7,13,need,2,58
7,9,need,2,64
7,25,need,2,72
7,21,need,2,85
7,18,want,3,7
7,14,want,3,13
7,22,want,3,22
7,10,want,3,24
7,30,want,2,48
7,26,want,2,75
7,2,want,2,83
7,6,want,2,93
8,64,2-word-order-errors,2,15
8,61,2-word-order-errors,1,22
8,60,2-word-order-errors,1,30
8,59,2-word-order-errors,1,35
8,63,2-word-order-errors,1,56
8,57,2-word-order-errors,1,58
8,58,2-word-order-errors,1,80
8,62,2-word-order-errors,1,90
8,34,be-drop,4,20
8,35,be-drop,3,26
8,36,be-drop,2,44
8,39,be-drop,7,47
8,33,be-drop,1,50
8,37,be-drop,7,60
8,40,be-drop,1,68
8,38,be-drop,7,82
8,72,causative,7,13
8,66,causative,6,17
8,71,causative,5,24
8,65,causative,7,71
8,67,causative,7,76
8,69,causative,7,84
8,70,causative,7,85
8,68,causative,7,97
8,76,factive-say,6,5
8,73,factive-say,7,28
8,79,factive-say,7,40
8,74,factive-say,7,53
8,77,factive-say,7,59
8,78,factive-say,7,67
8,75,factive-say,7,74
8,80,factive-say,7,94
8,7,like,2,45
8,23,like,1,55
8,19,like,1,61
8,15,like,7,63
8,27,like,3,75
8,31,like,1,86
8,11,like,2,88
8,3,like,1,100
8,24,need,1,6
8,12,need,2,11
8,16,need,2,27
8,4,need,3,33
8,20,need,1,51
8,28,need,4,73
8,32,need,1,91
8,8,need,1,93
8,42,negative-concord,5,7
8,41,negative-concord,6,19
8,48,negative-concord,6,34
8,46,negative-concord,7,49
8,47,negative-concord,7,62
8,43,negative-concord,7,66
8,45,negative-concord,7,81
8,44,negative-concord,7,87
8,85,non-factive-believe,7,10
8,88,non-factive-believe,7,38
8,81,non-factive-believe,7,41
8,86,non-factive-believe,7,46
8,82,non-factive-believe,6,72
8,83,non-factive-believe,7,78
8,87,non-factive-believe,7,92
8,84,non-factive-believe,7,95
8,89,raising-seem,7,12
8,93,raising-seem,7,52
8,95,raising-seem,7,54
8,90,raising-seem,7,64
8,94,raising-seem,7,65
8,91,raising-seem,7,89
8,96,raising-seem,7,96
8,92,raising-seem,7,99
8,52,singular-dont,5,8
8,49,singular-dont,4,25
8,54,singular-dont,6,32
8,51,singular-dont,7,36
8,55,singular-dont,7,42
8,50,singular-dont,7,43
8,56,singular-dont,7,69
8,53,singular-dont,7,77
8,9,need,2,14
8,5,need,3,18
8,13,need,2,23
8,25,need,1,29
8,21,need,2,31
8,1,need,1,48
8,29,need,2,79
8,17,need,7,83
8,2,want,3,9
8,18,want,3,16
8,10,want,3,21
8,22,want,1,37
8,26,want,1,39
8,30,want,1,57
8,6,want,1,70
8,14,want,1,98
9,63,2-word-order-errors,1,9
9,64,2-word-order-errors,1,12
9,59,2-word-order-errors,4,33
9,60,2-word-order-errors,1,40
9,62,2-word-order-errors,1,54
9,58,2-word-order-errors,2,78
9,61,2-word-order-errors,1,95
9,57,2-word-order-errors,1,99
9,36,be-drop,7,6
9,33,be-drop,6,29
9,35,be-drop,2,61
9,39,be-drop,2,62
9,37,be-drop,2,67
9,34,be-drop,7,81
9,38,be-drop,2,87
9,40,be-drop,2,89
9,71,causative,6,7
9,72,causative,7,14
9,65,causative,7,23
9,66,causative,7,25
9,68,causative,6,36
9,69,causative,7,45
9,67,causative,7,47
9,70,causative,7,59
9,75,factive-say,7,16
9,76,factive-say,6,17
9,73,factive-say,6,31
9,80,factive-say,7,34
9,78,factive-say,7,38
9,77,factive-say,6,43
9,79,factive-say,6,51
9,74,factive-say,7,70
9,31,like,2,15
9,19,like,2,24
9,27,like,2,35
9,11,like,2,56
9,3,like,2,64
9,15,like,2,84
9,23,like,2,88
9,7,like,2,91
9,32,need,2,8
9,16,need,2,11
9,8,need,2,18
9,24,need,2,26
9,28,need,2,28
9,4,need,2,32
9,12,need,2,44
9,20,need,2,79
9,47,negative-concord,2,5
9,41,negative-concord,2,10
9,42,negative-concord,2,20
9,46,negative-concord,2,21
9,45,negative-concord,2,37
9,44,negative-concord,2,42
9,43,negative-concord,2,48
9,48,negative-concord,2,92
9,81,non-factive-believe,7,22
9,83,non-factive-believe,7,55
9,82,non-factive-believe,7,57
9,85,non-factive-believe,7,58
9,88,non-factive-believe,7,68
9,86,non-factive-believe,7,72
9,84,non-factive-believe,7,74
9,87,non-factive-believe,7,83
9,94,raising-seem,7,13
9,95,raising-seem,7,19
9,93,raising-seem,6,27
9,92,raising-seem,6,30
9,91,raising-seem,7,65
9,90,raising-seem,7,90
9,89,raising-seem,7,94
9,96,raising-seem,6,97
9,52,singular-dont,2,49
9,55,singular-dont,2,53
9,54,singular-dont,2,63
9,51,singular-dont,2,66
9,49,singular-dont,7,75
9,53,singular-dont,2,77
9,50,singular-dont,2,80
9,56,singular-dont,2,85
9,13,need,2,41
9,17,need,1,46
9,25,need,2,50
9,29,need,2,52
9,5,need,2,71
9,1,need,2,76
9,21,need,2,96
9,9,need,2,100
9,6,want,2,39
9,30,want,2,60
9,18,want,2,69
9,26,want,2,73
9,22,want,2,82
9,2,want,2,86
9,14,want,2,93
9,10,want,2,98
10,60,2-word-order-errors,1,11
10,62,2-word-order-errors,1,20
10,64,2-word-order-errors,1,41
10,59,2-word-order-errors,7,43
10,58,2-word-order-errors,7,44
10,63,2-word-order-errors,1,49
10,57,2-word-order-errors,1,57
10,61,2-word-order-errors,1,83
10,34,be-drop,7,18
10,36,be-drop,1,28
10,37,be-drop,1,51
10,39,be-drop,1,56
10,40,be-drop,7,61
10,38,be-drop,7,68
10,35,be-drop,7,76
10,33,be-drop,1,91
10,69,causative,5,8
10,71,causative,6,12
10,65,causative,3,27
10,72,causative,7,30
10,70,causative,7,31
10,66,causative,7,80
10,67,causative,7,86
10,68,causative,7,89
10,76,factive-say,5,5
10,77,factive-say,7,24
10,80,factive-say,7,34
10,79,factive-say,7,40
10,75,factive-say,7,64
10,78,factive-say,7,73
10,73,factive-say,7,93
10,74,factive-say,7,98
10,31,like,7,14
10,23,like,7,21
10,27,like,1,37
10,19,like,1,42
10,3,like,1,48
10,11,like,7,78
10,15,like,7,81
10,7,like,1,85
10,24,need,2,9
10,32,need,1,29
10,28,need,1,33
10,20,need,7,58
10,4,need,1,69
10,8,need,7,87
10,16,need,1,94
10,12,need,1,100
10,44,negative-concord,2,38
10,43,negative-concord,1,46
10,48,negative-concord,1,59
10,41,negative-concord,1,67
10,47,negative-concord,1,77
10,42,negative-concord,1,82
10,45,negative-concord,1,84
10,46,negative-concord,1,99
10,82,non-factive-believe,7,7
10,84,non-factive-believe,6,15
10,88,non-factive-believe,7,50
10,83,non-factive-believe,7,53
10,81,non-factive-believe,7,63
10,86,non-factive-believe,7,65
10,85,non-factive-believe,7,70
10,87,non-factive-believe,7,74
10,90,raising-seem,7,17
10,89,raising-seem,7,26
10,94,raising-seem,7,39
10,96,raising-seem,7,60
10,92,raising-seem,7,72
10,93,raising-seem,7,79
10,95,raising-seem,7,88
10,91,raising-seem,7,97
10,50,singular-dont,1,10
10,56,singular-dont,1,13
10,55,singular-dont,2,22
10,49,singular-dont,1,32
10,53,singular-dont,1,36
10,52,singular-dont,7,47
10,54,singular-dont,1,54
10,51,singular-dont,1,95
10,9,need,1,6
10,17,need,1,25
10,5,need,1,45
10,25,need,1,52
10,13,need,1,66
10,21,need,1,71
10,1,need,1,90
10,29,need,1,96
10,14,want,7,16
10,2,want,7,19
10,26,want,6,23
10,10,want,7,35
10,30,want,7,55
10,6,want,1,62
10,18,want,1,75
10,22,want,1,92
11,60,2-word-order-errors,1,11
11,64,2-word-order-errors,2,24
11,57,2-word-order-errors,1,33
11,59,2-word-order-errors,2,35
11,63,2-word-order-errors,1,69
11,61,2-word-order-errors,1,70
11,62,2-word-order-errors,1,75
11,58,2-word-order-errors,7,99
11,39,be-drop,3,19
11,38,be-drop,4,28
11,33,be-drop,4,31
11,35,be-drop,2,40
11,36,be-drop,3,55
11,37,be-drop,3,61
11,40,be-drop,3,64
11,34,be-drop,3,73
11,71,causative,7,5
11,65,causative,7,8
11,68,causative,7,13
11,67,causative,7,21
11,66,causative,7,25
11,70,causative,7,34
11,72,causative,7,80
11,69,causative,7,87
11,79,factive-say,7,6
11,80,factive-say,7,26
11,73,factive-say,7,36
11,78,factive-say,7,44
11,74,factive-say,7,46
11,75,factive-say,7,51
11,77,factive-say,7,57
11,76,factive-say,7,72
11,23,like,2,9
11,11,like,3,18
11,31,like,1,32
11,19,like,2,37
11,15,like,3,53
11,27,like,2,81
11,3,like,2,83
11,7,like,2,85
11,32,need,3,16
11,16,need,2,27
11,24,need,4,42
11,28,need,4,47
11,20,need,3,56
11,8,need,3,68
11,4,need,3,76
11,12,need,3,97
11,47,negative-concord,4,10
11,45,negative-concord,4,41
11,44,negative-concord,4,48
11,41,negative-concord,4,49
11,43,negative-concord,4,54
11,46,negative-concord,4,62
11,42,negative-concord,4,88
11,48,negative-concord,4,90
11,88,non-factive-believe,7,23
11,81,non-factive-believe,7,39
11,85,non-factive-believe,7,43
11,84,non-factive-believe,7,52
11,83,non-factive-believe,7,67
11,87,non-factive-believe,7,77
11,86,non-factive-believe,7,79
11,82,non-factive-believe,7,82
11,96,raising-seem,7,14
11,91,raising-seem,7,58
11,95,raising-seem,7,60
11,93,raising-seem,7,65
11,89,raising-seem,7,86
11,92,raising-seem,7,94
11,94,raising-seem,7,95
11,90,raising-seem,7,96
11,55,singular-dont,4,15
11,49,singular-dont,4,17
11,51,singular-dont,4,30
11,53,singular-dont,4,38
11,54,singular-dont,4,45
11,56,singular-dont,4,84
11,52,singular-dont,4,92
11,50,singular-dont,4,98
11,13,need,2,12
11,29,need,5,29
11,5,need,3,63
11,25,need,3,71
11,17,need,3,74
11,1,need,3,78
11,9,need,3,89
11,21,need,3,93
11,10,want,7,7
11,2,want,3,20
11,14,want,4,22
11,26,want,3,50
11,30,want,3,59
11,18,want,3,66
11,6,want,2,91
11,22,want,3,100
12,57,2-word-order-errors,1,26
12,59,2-word-order-errors,2,30
12,61,2-word-order-errors,1,42
12,60,2-word-order-errors,1,58
12,64,2-word-order-errors,1,59
12,62,2-word-order-errors,1,75
12,58,2-word-order-errors,1,90
12,63,2-word-order-errors,1,95
12,33,be-drop,1,17
12,36,be-drop,2,24
12,37,be-drop,3,44
12,39,be-drop,7,61
12,40,be-drop,3,62
12,34,be-drop,1,79
12,35,be-drop,7,93
12,38,be-drop,2,94
12,71,causative,6,6
12,69,causative,7,8
12,70,causative,3,20
12,65,causative,7,49
12,68,causative,7,53
12,67,causative,7,70
12,66,causative,7,80
12,72,causative,7,83
12,76,factive-say,7,22
12,78,factive-say,7,27
12,77,factive-say,6,39
12,80,factive-say,7,46
12,79,factive-say,7,65
12,74,factive-say,7,72
12,73,factive-say,7,84
12,75,factive-say,7,97
12,31,like,2,7
12,11,like,2,23
12,27,like,1,36
12,15,like,1,57
12,19,like,1,60
12,3,like,1,73
12,23,like,1,82
12,7,like,1,86
12,20,need,1,15
12,24,need,2,28
12,16,need,3,45
12,4,need,2,55
12,32,need,3,63
12,12,need,2,67
